my,geoid,br_2020,se_traf,pt_traf,total_traf,borough,shape_area,nta_nam
19-Jun,36061000600,1000600,11104,54466,65570,Manhattan,2582705.157,Chinatown-Two Bridges
21-Jun,36061000600,1000600,8273,57703,65976,Manhattan,2582705.157,Chinatown-Two Bridges
19-Jul,36061000600,1000600,6828,60606,67434,Manhattan,2582705.157,Chinatown-Two Bridges
21-Jul,36061000600,1000600,9170,154046,163216,Manhattan,2582705.157,Chinatown-Two Bridges
19-Aug,36061000600,1000600,14452,87893,102345,Manhattan,2582705.157,Chinatown-Two Bridges
21-Aug,36061000600,1000600,5064,108758,113822,Manhattan,2582705.157,Chinatown-Two Bridges
19-May,36061001401,1001401,12745,46280,59025,Manhattan,1006116.584,Lower East Side
21-May,36061001401,1001401,14398,83177,97575,Manhattan,1006116.584,Lower East Side
19-Jun,36061001401,1001401,6738,100126,106864,Manhattan,1006116.584,Lower East Side
21-Jun,36061001401,1001401,14872,82775,97647,Manhattan,1006116.584,Lower East Side
19-Jul,36061001401,1001401,11063,72597,83660,Manhattan,1006116.584,Lower East Side
21-Jul,36061001401,1001401,0,56198,56198,Manhattan,1006116.584,Lower East Side
19-Aug,36061001401,1001401,1519,31834,33353,Manhattan,1006116.584,Lower East Side
21-Aug,36061001401,1001401,5970,32510,38480,Manhattan,1006116.584,Lower East Side
19-May,36061001402,1001402,7538,35622,43160,Manhattan,1226206.247,Lower East Side
21-May,36061001402,1001402,11463,23663,35126,Manhattan,1226206.247,Lower East Side
19-Jun,36061001402,1001402,11011,85341,96352,Manhattan,1226206.247,Lower East Side
21-Jun,36061001402,1001402,2324,78845,81169,Manhattan,1226206.247,Lower East Side
19-Jul,36061001402,1001402,5752,34887,40639,Manhattan,1226206.247,Lower East Side
21-Jul,36061001402,1001402,11023,70827,81850,Manhattan,1226206.247,Lower East Side
19-Aug,36061001402,1001402,6881,71,6952,Manhattan,1226206.247,Lower East Side
21-Aug,36061001402,1001402,9210,128538,137748,Manhattan,1226206.247,Lower East Side
19-May,36061001800,1001800,8929,99074,108003,Manhattan,2399276.864,Lower East Side
21-May,36061001800,1001800,9624,80973,90597,Manhattan,2399276.864,Lower East Side
19-Jun,36061001800,1001800,12283,11994,24277,Manhattan,2399276.864,Lower East Side
21-Jun,36061001800,1001800,7503,24452,31955,Manhattan,2399276.864,Lower East Side
19-Jul,36061001800,1001800,11559,106659,118218,Manhattan,2399276.864,Lower East Side
21-Jul,36061001800,1001800,6992,81097,88089,Manhattan,2399276.864,Lower East Side
19-Aug,36061001800,1001800,13510,64959,78469,Manhattan,2399276.864,Lower East Side
21-Aug,36061001800,1001800,11036,18662,29698,Manhattan,2399276.864,Lower East Side
19-May,36061002201,1002201,14112,58782,72894,Manhattan,1740173.876,Lower East Side
21-May,36061002201,1002201,13129,126093,139222,Manhattan,1740173.876,Lower East Side
19-Jun,36061002201,1002201,5263,60271,65534,Manhattan,1740173.876,Lower East Side
21-Jun,36061002201,1002201,7185,66232,73417,Manhattan,1740173.876,Lower East Side
19-Jul,36061002201,1002201,15395,34811,50206,Manhattan,1740173.876,Lower East Side
21-Jul,36061002201,1002201,8054,75614,83668,Manhattan,1740173.876,Lower East Side
19-Aug,36061002201,1002201,10709,103159,113868,Manhattan,1740173.876,Lower East Side
21-Aug,36061002201,1002201,11817,63032,74849,Manhattan,1740173.876,Lower East Side
19-May,36061002601,1002601,0,149430,149430,Manhattan,1141217.527,East Village
21-May,36061002601,1002601,8622,95838,104460,Manhattan,1141217.527,East Village
19-Jun,36061002601,1002601,11939,61866,73805,Manhattan,1141217.527,East Village
21-Jun,36061002601,1002601,0,43939,43939,Manhattan,1141217.527,East Village
19-Jul,36061002601,1002601,2210,80694,82904,Manhattan,1141217.527,East Village
21-Jul,36061002601,1002601,7331,135245,142576,Manhattan,1141217.527,East Village
19-Aug,36061002601,1002601,6661,78411,85072,Manhattan,1141217.527,East Village
21-Aug,36061002601,1002601,6518,29181,35699,Manhattan,1141217.527,East Village
19-May,36061002602,1002602,12152,45222,57374,Manhattan,1114857.118,East Village
21-May,36061002602,1002602,8001,43948,51949,Manhattan,1114857.118,East Village
19-Jun,36061002602,1002602,1833,66386,68219,Manhattan,1114857.118,East Village
21-Jun,36061002602,1002602,10367,39169,49536,Manhattan,1114857.118,East Village
19-Jul,36061002602,1002602,11804,39377,51181,Manhattan,1114857.118,East Village
21-Jul,36061002602,1002602,6780,42336,49116,Manhattan,1114857.118,East Village
19-Aug,36061002602,1002602,14308,52023,66331,Manhattan,1114857.118,East Village
21-Aug,36061002602,1002602,14868,53343,68211,Manhattan,1114857.118,East Village
19-May,36061002800,1002800,9053,137586,146639,Manhattan,1973678.468,East Village
21-May,36061002800,1002800,8281,71368,79649,Manhattan,1973678.468,East Village
19-Jun,36061002800,1002800,13204,61406,74610,Manhattan,1973678.468,East Village
21-Jun,36061002800,1002800,10033,62761,72794,Manhattan,1973678.468,East Village
19-Jul,36061002800,1002800,14385,62237,76622,Manhattan,1973678.468,East Village
21-Jul,36061002800,1002800,5360,46715,52075,Manhattan,1973678.468,East Village
19-Aug,36061002800,1002800,5191,71,5262,Manhattan,1973678.468,East Village
21-Aug,36061002800,1002800,2765,33767,36532,Manhattan,1973678.468,East Village
19-May,36061003100,1003100,3475,84269,87744,Manhattan,2207015.175,Tribeca-Civic Center
21-May,36061003100,1003100,12789,82436,95225,Manhattan,2207015.175,Tribeca-Civic Center
19-Jun,36061003100,1003100,11796,37328,49124,Manhattan,2207015.175,Tribeca-Civic Center
21-Jun,36061003100,1003100,7504,57807,65311,Manhattan,2207015.175,Tribeca-Civic Center
19-Jul,36061003100,1003100,0,14845,14845,Manhattan,2207015.175,Tribeca-Civic Center
21-Jul,36061003100,1003100,4388,83059,87447,Manhattan,2207015.175,Tribeca-Civic Center
19-Aug,36061003100,1003100,5342,50915,56257,Manhattan,2207015.175,Tribeca-Civic Center
21-Aug,36061003100,1003100,0,43783,43783,Manhattan,2207015.175,Tribeca-Civic Center
19-May,36061003200,1003200,13513,41862,55375,Manhattan,2335526.622,East Village
21-May,36061003200,1003200,5487,100367,105854,Manhattan,2335526.622,East Village
19-Jun,36061003200,1003200,9141,13857,22998,Manhattan,2335526.622,East Village
21-Jun,36061003200,1003200,6923,97642,104565,Manhattan,2335526.622,East Village
19-Jul,36061003200,1003200,15431,37513,52944,Manhattan,2335526.622,East Village
21-Jul,36061003200,1003200,12929,63683,76612,Manhattan,2335526.622,East Village
19-Aug,36061003200,1003200,7550,3554,11104,Manhattan,2335526.622,East Village
21-Aug,36061003200,1003200,9362,43786,53148,Manhattan,2335526.622,East Village
19-May,36061003300,1003300,11665,76947,88612,Manhattan,3677727.618,Tribeca-Civic Center
21-May,36061003300,1003300,79,134289,134368,Manhattan,3677727.618,Tribeca-Civic Center
19-Jun,36061003300,1003300,7443,69215,76658,Manhattan,3677727.618,Tribeca-Civic Center
21-Jun,36061003300,1003300,14510,9919,24429,Manhattan,3677727.618,Tribeca-Civic Center
19-Jul,36061003300,1003300,10801,57738,68539,Manhattan,3677727.618,Tribeca-Civic Center
21-Jul,36061003300,1003300,249,65191,65440,Manhattan,3677727.618,Tribeca-Civic Center
19-Aug,36061003300,1003300,10002,71,10073,Manhattan,3677727.618,Tribeca-Civic Center
21-Aug,36061003300,1003300,4084,76231,80315,Manhattan,3677727.618,Tribeca-Civic Center
19-May,36061003400,1003400,8810,91667,100477,Manhattan,1718451.586,East Village
21-May,36061003400,1003400,11710,157674,169384,Manhattan,1718451.586,East Village
19-Jun,36061003400,1003400,10978,144954,155932,Manhattan,1718451.586,East Village
21-Jun,36061003400,1003400,9699,46637,56336,Manhattan,1718451.586,East Village
19-Jul,36061003400,1003400,9707,81265,90972,Manhattan,1718451.586,East Village
21-Jul,36061003400,1003400,0,85818,85818,Manhattan,1718451.586,East Village
19-Aug,36061003400,1003400,3309,55949,59258,Manhattan,1718451.586,East Village
21-Aug,36061003400,1003400,3208,22133,25341,Manhattan,1718451.586,East Village
19-May,36061003601,1003601,12352,73801,86153,Manhattan,1082296.166,Lower East Side
21-May,36061003601,1003601,6656,93071,99727,Manhattan,1082296.166,Lower East Side
19-Jun,36061003601,1003601,7743,123408,131151,Manhattan,1082296.166,Lower East Side
21-Jun,36061003601,1003601,8536,113399,121935,Manhattan,1082296.166,Lower East Side
19-Jul,36061003601,1003601,18644,31033,49677,Manhattan,1082296.166,Lower East Side
21-Jul,36061003601,1003601,2921,71,2992,Manhattan,1082296.166,Lower East Side
19-Aug,36061003601,1003601,6136,71,6207,Manhattan,1082296.166,Lower East Side
21-Aug,36061003601,1003601,14726,140994,155720,Manhattan,1082296.166,Lower East Side
19-May,36061003602,1003602,9325,83784,93109,Manhattan,961070.5001,East Village
21-May,36061003602,1003602,18747,87818,106565,Manhattan,961070.5001,East Village
19-Jun,36061003602,1003602,12586,81952,94538,Manhattan,961070.5001,East Village
21-Jun,36061003602,1003602,8047,78221,86268,Manhattan,961070.5001,East Village
19-Jul,36061003602,1003602,15247,123961,139208,Manhattan,961070.5001,East Village
21-Jul,36061003602,1003602,0,137724,137724,Manhattan,961070.5001,East Village
19-Aug,36061003602,1003602,11870,40496,52366,Manhattan,961070.5001,East Village
21-Aug,36061003602,1003602,5024,89125,94149,Manhattan,961070.5001,East Village
19-May,36061003700,1003700,9346,126148,135494,Manhattan,4116364.297,SoHo-Little Italy-Hudson Square
21-May,36061003700,1003700,13011,88388,101399,Manhattan,4116364.297,SoHo-Little Italy-Hudson Square
19-Jun,36061003700,1003700,18574,168230,186804,Manhattan,4116364.297,SoHo-Little Italy-Hudson Square
21-Jun,36061003700,1003700,9361,3161,12522,Manhattan,4116364.297,SoHo-Little Italy-Hudson Square
19-Jul,36061003700,1003700,13623,62988,76611,Manhattan,4116364.297,SoHo-Little Italy-Hudson Square
21-Jul,36061003700,1003700,11542,101459,113001,Manhattan,4116364.297,SoHo-Little Italy-Hudson Square
19-Aug,36061003700,1003700,15667,62028,77695,Manhattan,4116364.297,SoHo-Little Italy-Hudson Square
21-Aug,36061003700,1003700,9262,30636,39898,Manhattan,4116364.297,SoHo-Little Italy-Hudson Square
19-May,36061003900,1003900,2703,100322,103025,Manhattan,3571006.257,Tribeca-Civic Center
21-May,36061003900,1003900,7206,46835,54041,Manhattan,3571006.257,Tribeca-Civic Center
19-Jun,36061003900,1003900,2840,73819,76659,Manhattan,3571006.257,Tribeca-Civic Center
21-Jun,36061003900,1003900,10177,139262,149439,Manhattan,3571006.257,Tribeca-Civic Center
19-Jul,36061003900,1003900,0,99114,99114,Manhattan,3571006.257,Tribeca-Civic Center
21-Jul,36061003900,1003900,10393,109662,120055,Manhattan,3571006.257,Tribeca-Civic Center
19-Aug,36061003900,1003900,8912,65176,74088,Manhattan,3571006.257,Tribeca-Civic Center
21-Aug,36061003900,1003900,8673,71,8744,Manhattan,3571006.257,Tribeca-Civic Center
19-May,36061004001,1004001,13864,11767,25631,Manhattan,995026.1373,East Village
21-May,36061004001,1004001,10725,71,10796,Manhattan,995026.1373,East Village
19-Jun,36061004001,1004001,9074,86147,95221,Manhattan,995026.1373,East Village
21-Jun,36061004001,1004001,11830,66679,78509,Manhattan,995026.1373,East Village
19-Jul,36061004001,1004001,8852,59120,67972,Manhattan,995026.1373,East Village
21-Jul,36061004001,1004001,16316,57118,73434,Manhattan,995026.1373,East Village
19-Aug,36061004001,1004001,7111,43373,50484,Manhattan,995026.1373,East Village
21-Aug,36061004001,1004001,0,115277,115277,Manhattan,995026.1373,East Village
19-May,36061004002,1004002,12260,107986,120246,Manhattan,932610.9862,East Village
21-May,36061004002,1004002,5068,107244,112312,Manhattan,932610.9862,East Village
19-Jun,36061004002,1004002,11095,102334,113429,Manhattan,932610.9862,East Village
21-Jun,36061004002,1004002,14202,41285,55487,Manhattan,932610.9862,East Village
19-Jul,36061004002,1004002,8373,102327,110700,Manhattan,932610.9862,East Village
21-Jul,36061004002,1004002,9892,57586,67478,Manhattan,932610.9862,East Village
19-Aug,36061004002,1004002,6078,27901,33979,Manhattan,932610.9862,East Village
21-Aug,36061004002,1004002,10031,71,10102,Manhattan,932610.9862,East Village
19-May,36061004100,1004100,12227,104538,116765,Manhattan,2058611.777,SoHo-Little Italy-Hudson Square
21-May,36061004100,1004100,11454,86429,97883,Manhattan,2058611.777,SoHo-Little Italy-Hudson Square
19-Jun,36061004100,1004100,16424,39040,55464,Manhattan,2058611.777,SoHo-Little Italy-Hudson Square
21-Jun,36061004100,1004100,4208,57770,61978,Manhattan,2058611.777,SoHo-Little Italy-Hudson Square
19-Jul,36061004100,1004100,10950,30325,41275,Manhattan,2058611.777,SoHo-Little Italy-Hudson Square
21-Jul,36061004100,1004100,0,118105,118105,Manhattan,2058611.777,SoHo-Little Italy-Hudson Square
19-Aug,36061004100,1004100,14178,5427,19605,Manhattan,2058611.777,SoHo-Little Italy-Hudson Square
21-Aug,36061004100,1004100,11805,77566,89371,Manhattan,2058611.777,SoHo-Little Italy-Hudson Square
19-May,36061004300,1004300,5567,93142,98709,Manhattan,1605585.008,SoHo-Little Italy-Hudson Square
21-May,36061004300,1004300,9444,80771,90215,Manhattan,1605585.008,SoHo-Little Italy-Hudson Square
19-Jun,36061004300,1004300,11389,93407,104796,Manhattan,1605585.008,SoHo-Little Italy-Hudson Square
21-Jun,36061004300,1004300,17497,18810,36307,Manhattan,1605585.008,SoHo-Little Italy-Hudson Square
19-Jul,36061004300,1004300,20120,100964,121084,Manhattan,1605585.008,SoHo-Little Italy-Hudson Square
21-Jul,36061004300,1004300,10693,76357,87050,Manhattan,1605585.008,SoHo-Little Italy-Hudson Square
19-Aug,36061004300,1004300,7876,130632,138508,Manhattan,1605585.008,SoHo-Little Italy-Hudson Square
21-Aug,36061004300,1004300,5208,39378,44586,Manhattan,1605585.008,SoHo-Little Italy-Hudson Square
19-May,36061004500,1004500,3385,70088,73473,Manhattan,1129524.355,SoHo-Little Italy-Hudson Square
21-May,36061004500,1004500,1894,69675,71569,Manhattan,1129524.355,SoHo-Little Italy-Hudson Square
19-Jun,36061004500,1004500,15566,56724,72290,Manhattan,1129524.355,SoHo-Little Italy-Hudson Square
21-Jun,36061004500,1004500,5636,3457,9093,Manhattan,1129524.355,SoHo-Little Italy-Hudson Square
19-Jul,36061004500,1004500,13486,59906,73392,Manhattan,1129524.355,SoHo-Little Italy-Hudson Square
21-Jul,36061004500,1004500,18148,139268,157416,Manhattan,1129524.355,SoHo-Little Italy-Hudson Square
19-Aug,36061004500,1004500,13466,107877,121343,Manhattan,1129524.355,SoHo-Little Italy-Hudson Square
21-Aug,36061004500,1004500,5524,46428,51952,Manhattan,1129524.355,SoHo-Little Italy-Hudson Square
19-May,36061005200,1005200,10012,108691,118703,Manhattan,1815428.992,Midtown South-Flatiron-Union Square
21-May,36061005200,1005200,9265,23785,33050,Manhattan,1815428.992,Midtown South-Flatiron-Union Square
19-Jun,36061005200,1005200,7458,144714,152172,Manhattan,1815428.992,Midtown South-Flatiron-Union Square
21-Jun,36061005200,1005200,12761,33942,46703,Manhattan,1815428.992,Midtown South-Flatiron-Union Square
19-Jul,36061005200,1005200,10967,50819,61786,Manhattan,1815428.992,Midtown South-Flatiron-Union Square
21-Jul,36061005200,1005200,5643,71,5714,Manhattan,1815428.992,Midtown South-Flatiron-Union Square
19-Aug,36061005200,1005200,5667,72565,78232,Manhattan,1815428.992,Midtown South-Flatiron-Union Square
21-Aug,36061005200,1005200,3432,50480,53912,Manhattan,1815428.992,Midtown South-Flatiron-Union Square
19-May,36061005400,1005400,7816,115454,123270,Manhattan,1809255.658,Midtown South-Flatiron-Union Square
21-May,36061005400,1005400,8142,52726,60868,Manhattan,1809255.658,Midtown South-Flatiron-Union Square
19-Jun,36061005400,1005400,10288,28444,38732,Manhattan,1809255.658,Midtown South-Flatiron-Union Square
21-Jun,36061005400,1005400,12637,92816,105453,Manhattan,1809255.658,Midtown South-Flatiron-Union Square
19-Jul,36061005400,1005400,12405,104443,116848,Manhattan,1809255.658,Midtown South-Flatiron-Union Square
21-Jul,36061005400,1005400,4736,46256,50992,Manhattan,1809255.658,Midtown South-Flatiron-Union Square
19-Aug,36061005400,1005400,2673,25428,28101,Manhattan,1809255.658,Midtown South-Flatiron-Union Square
21-Aug,36061005400,1005400,9667,108177,117844,Manhattan,1809255.658,Midtown South-Flatiron-Union Square
19-May,36061005501,1005501,6814,52284,59098,Manhattan,1338496.768,Greenwich Village
21-May,36061005501,1005501,12899,71136,84035,Manhattan,1338496.768,Greenwich Village
19-Jun,36061005501,1005501,11348,61151,72499,Manhattan,1338496.768,Greenwich Village
21-Jun,36061005501,1005501,11386,71,11457,Manhattan,1338496.768,Greenwich Village
19-Jul,36061005501,1005501,15545,49749,65294,Manhattan,1338496.768,Greenwich Village
21-Jul,36061005501,1005501,1948,25146,27094,Manhattan,1338496.768,Greenwich Village
19-Aug,36061005501,1005501,13135,76630,89765,Manhattan,1338496.768,Greenwich Village
21-Aug,36061005501,1005501,8373,45100,53473,Manhattan,1338496.768,Greenwich Village
19-May,36061005502,1005502,9685,20797,30482,Manhattan,1243017.228,Greenwich Village
21-May,36061005502,1005502,0,24374,24374,Manhattan,1243017.228,Greenwich Village
19-Jun,36061005502,1005502,17499,57010,74509,Manhattan,1243017.228,Greenwich Village
21-Jun,36061005502,1005502,7622,78426,86048,Manhattan,1243017.228,Greenwich Village
19-Jul,36061005502,1005502,10224,36980,47204,Manhattan,1243017.228,Greenwich Village
21-Jul,36061005502,1005502,5425,65837,71262,Manhattan,1243017.228,Greenwich Village
19-Aug,36061005502,1005502,5794,64976,70770,Manhattan,1243017.228,Greenwich Village
21-Aug,36061005502,1005502,6581,96748,103329,Manhattan,1243017.228,Greenwich Village
19-May,36061005800,1005800,3131,68627,71758,Manhattan,1879679.389,Midtown South-Flatiron-Union Square
21-May,36061005800,1005800,7383,61510,68893,Manhattan,1879679.389,Midtown South-Flatiron-Union Square
19-Jun,36061005800,1005800,12361,108016,120377,Manhattan,1879679.389,Midtown South-Flatiron-Union Square
21-Jun,36061005800,1005800,1424,28774,30198,Manhattan,1879679.389,Midtown South-Flatiron-Union Square
19-Jul,36061005800,1005800,11905,50532,62437,Manhattan,1879679.389,Midtown South-Flatiron-Union Square
21-Jul,36061005800,1005800,11950,92752,104702,Manhattan,1879679.389,Midtown South-Flatiron-Union Square
19-Aug,36061005800,1005800,5180,107440,112620,Manhattan,1879679.389,Midtown South-Flatiron-Union Square
21-Aug,36061005800,1005800,4483,10923,15406,Manhattan,1879679.389,Midtown South-Flatiron-Union Square
19-May,36061006300,1006300,7160,42423,49583,Manhattan,1918265.478,Greenwich Village
21-May,36061006300,1006300,8947,75166,84113,Manhattan,1918265.478,Greenwich Village
19-Jun,36061006300,1006300,3012,39770,42782,Manhattan,1918265.478,Greenwich Village
21-Jun,36061006300,1006300,6994,97733,104727,Manhattan,1918265.478,Greenwich Village
19-Jul,36061006300,1006300,5370,74678,80048,Manhattan,1918265.478,Greenwich Village
21-Jul,36061006300,1006300,3360,90648,94008,Manhattan,1918265.478,Greenwich Village
19-Aug,36061006300,1006300,3910,55083,58993,Manhattan,1918265.478,Greenwich Village
21-Aug,36061006300,1006300,9132,63026,72158,Manhattan,1918265.478,Greenwich Village
19-May,36061006500,1006500,0,70337,70337,Manhattan,2167367.115,Greenwich Village
21-May,36061006500,1006500,8839,102356,111195,Manhattan,2167367.115,Greenwich Village
19-Jun,36061006500,1006500,13372,35338,48710,Manhattan,2167367.115,Greenwich Village
21-Jun,36061006500,1006500,4798,37984,42782,Manhattan,2167367.115,Greenwich Village
19-Jul,36061006500,1006500,0,83397,83397,Manhattan,2167367.115,Greenwich Village
21-Jul,36061006500,1006500,10482,39625,50107,Manhattan,2167367.115,Greenwich Village
19-Aug,36061006500,1006500,15001,63406,78407,Manhattan,2167367.115,Greenwich Village
21-Aug,36061006500,1006500,5590,72411,78001,Manhattan,2167367.115,Greenwich Village
19-May,36061006700,1006700,2528,90573,93101,Manhattan,1812883.023,West Village
21-May,36061006700,1006700,6086,32954,39040,Manhattan,1812883.023,West Village
19-Jun,36061006700,1006700,14157,95368,109525,Manhattan,1812883.023,West Village
21-Jun,36061006700,1006700,10794,88432,99226,Manhattan,1812883.023,West Village
19-Jul,36061006700,1006700,0,51038,51038,Manhattan,1812883.023,West Village
21-Jul,36061006700,1006700,12667,65044,77711,Manhattan,1812883.023,West Village
19-Aug,36061006700,1006700,6281,39914,46195,Manhattan,1812883.023,West Village
21-Aug,36061006700,1006700,9457,51550,61007,Manhattan,1812883.023,West Village
19-May,36061006800,1006800,13638,71,13709,Manhattan,1877720.935,Gramercy
21-May,36061006800,1006800,5963,72009,77972,Manhattan,1877720.935,Gramercy
19-Jun,36061006800,1006800,15909,93435,109344,Manhattan,1877720.935,Gramercy
21-Jun,36061006800,1006800,9612,39212,48824,Manhattan,1877720.935,Gramercy
19-Jul,36061006800,1006800,6774,56508,63282,Manhattan,1877720.935,Gramercy
21-Jul,36061006800,1006800,14687,85101,99788,Manhattan,1877720.935,Gramercy
19-Aug,36061006800,1006800,4514,123507,128021,Manhattan,1877720.935,Gramercy
21-Aug,36061006800,1006800,13298,97226,110524,Manhattan,1877720.935,Gramercy
19-May,36061007001,1007001,6628,96492,103120,Manhattan,967528.0636,Murray Hill-Kips Bay
21-May,36061007001,1007001,6967,46554,53521,Manhattan,967528.0636,Murray Hill-Kips Bay
19-Jun,36061007001,1007001,4455,40316,44771,Manhattan,967528.0636,Murray Hill-Kips Bay
21-Jun,36061007001,1007001,14938,65880,80818,Manhattan,967528.0636,Murray Hill-Kips Bay
19-Jul,36061007001,1007001,11334,82229,93563,Manhattan,967528.0636,Murray Hill-Kips Bay
21-Jul,36061007001,1007001,5684,71,5755,Manhattan,967528.0636,Murray Hill-Kips Bay
19-Aug,36061007001,1007001,9909,68562,78471,Manhattan,967528.0636,Murray Hill-Kips Bay
21-Aug,36061007001,1007001,10887,28925,39812,Manhattan,967528.0636,Murray Hill-Kips Bay
19-May,36061007002,1007002,4132,90525,94657,Manhattan,941181.2664,Murray Hill-Kips Bay
21-May,36061007002,1007002,12443,50363,62806,Manhattan,941181.2664,Murray Hill-Kips Bay
19-Jun,36061007002,1007002,7963,107654,115617,Manhattan,941181.2664,Murray Hill-Kips Bay
21-Jun,36061007002,1007002,4565,4237,8802,Manhattan,941181.2664,Murray Hill-Kips Bay
19-Jul,36061007002,1007002,15299,79900,95199,Manhattan,941181.2664,Murray Hill-Kips Bay
21-Jul,36061007002,1007002,18973,43299,62272,Manhattan,941181.2664,Murray Hill-Kips Bay
19-Aug,36061007002,1007002,10848,94096,104944,Manhattan,941181.2664,Murray Hill-Kips Bay
21-Aug,36061007002,1007002,10428,72447,82875,Manhattan,941181.2664,Murray Hill-Kips Bay
19-May,36061007100,1007100,16556,76883,93439,Manhattan,1774264.342,West Village
21-May,36061007100,1007100,8914,52310,61224,Manhattan,1774264.342,West Village
19-Jun,36061007100,1007100,5468,106400,111868,Manhattan,1774264.342,West Village
21-Jun,36061007100,1007100,6226,23239,29465,Manhattan,1774264.342,West Village
19-Jul,36061007100,1007100,8095,50712,58807,Manhattan,1774264.342,West Village
21-Jul,36061007100,1007100,6526,65405,71931,Manhattan,1774264.342,West Village
19-Aug,36061007100,1007100,7356,94871,102227,Manhattan,1774264.342,West Village
21-Aug,36061007100,1007100,3130,61185,64315,Manhattan,1774264.342,West Village
19-May,36061007200,1007200,6680,69503,76183,Manhattan,1877428.796,Murray Hill-Kips Bay
21-May,36061007200,1007200,9374,13429,22803,Manhattan,1877428.796,Murray Hill-Kips Bay
19-Jun,36061007200,1007200,15862,41581,57443,Manhattan,1877428.796,Murray Hill-Kips Bay
21-Jun,36061007200,1007200,7207,67571,74778,Manhattan,1877428.796,Murray Hill-Kips Bay
19-Jul,36061007200,1007200,18413,54813,73226,Manhattan,1877428.796,Murray Hill-Kips Bay
21-Jul,36061007200,1007200,5496,127356,132852,Manhattan,1877428.796,Murray Hill-Kips Bay
19-Aug,36061007200,1007200,6962,78797,85759,Manhattan,1877428.796,Murray Hill-Kips Bay
21-Aug,36061007200,1007200,8399,3200,11599,Manhattan,1877428.796,Murray Hill-Kips Bay
19-May,36061007300,1007300,0,117284,117284,Manhattan,1778587.974,West Village
21-May,36061007300,1007300,3730,71,3801,Manhattan,1778587.974,West Village
19-Jun,36061007300,1007300,17801,106850,124651,Manhattan,1778587.974,West Village
21-Jun,36061007300,1007300,5815,74610,80425,Manhattan,1778587.974,West Village
19-Jul,36061007300,1007300,8946,13911,22857,Manhattan,1778587.974,West Village
21-Jul,36061007300,1007300,8247,101598,109845,Manhattan,1778587.974,West Village
19-Aug,36061007300,1007300,13076,76900,89976,Manhattan,1778587.974,West Village
21-Aug,36061007300,1007300,3272,60211,63483,Manhattan,1778587.974,West Village
19-May,36061007600,1007600,5025,84831,89856,Manhattan,1873518.146,Midtown South-Flatiron-Union Square
21-May,36061007600,1007600,6863,71,6934,Manhattan,1873518.146,Midtown South-Flatiron-Union Square
19-Jun,36061007600,1007600,7239,91544,98783,Manhattan,1873518.146,Midtown South-Flatiron-Union Square
21-Jun,36061007600,1007600,11024,75273,86297,Manhattan,1873518.146,Midtown South-Flatiron-Union Square
19-Jul,36061007600,1007600,4200,108908,113108,Manhattan,1873518.146,Midtown South-Flatiron-Union Square
21-Jul,36061007600,1007600,7128,63923,71051,Manhattan,1873518.146,Midtown South-Flatiron-Union Square
19-Aug,36061007600,1007600,0,97593,97593,Manhattan,1873518.146,Midtown South-Flatiron-Union Square
21-Aug,36061007600,1007600,6862,83893,90755,Manhattan,1873518.146,Midtown South-Flatiron-Union Square
19-May,36061007700,1007700,5168,96987,102155,Manhattan,1924995.855,West Village
