CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area
"222","1",Manhattan,"022200","1022200",,Harlem (South),MN1001,MN10,MN10 Harlem (CD 10 Equivalent),"36061022200","4110",5772.83230285000,1953119.68039000011
"223.01","1",Manhattan,"022301","1022301",,Manhattanville-West Harlem,MN0902,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),"36061022301","4109",8733.01480272000,2058402.29328000010
"224","1",Manhattan,"022400","1022400",,Harlem (North),MN1002,MN10,MN10 Harlem (CD 10 Equivalent),"36061022400","4110",6182.38942395000,2099457.95410000021
"241","1",Manhattan,"024100","1024100",,Washington Heights (South),MN1201,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),"36061024100","4112",6466.01176886000,1909667.05327000003
"249","1",Manhattan,"024900","1024900",,Washington Heights (South),MN1201,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),"36061024900","4112",3927.82154387000,652856.29944199999
"255","1",Manhattan,"025500","1025500",,Washington Heights (South),MN1201,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),"36061025500","4112",10781.38140670000,4718124.84312999994
"281","1",Manhattan,"028100","1028100",,Washington Heights (North),MN1202,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),"36061028100","4112",4852.97327602000,974164.84408700000
"293","1",Manhattan,"029300","1029300",,Inwood,MN1203,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),"36061029300","4112",5489.62414985000,1690644.73182999995
"2","2",Bronx,"000200","2000200",,Soundview-Clason Point,BX0902,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005000200","4209",15251.73541390000,4877012.54236000031
"20.02","2",Bronx,"002002","2002002",,Soundview-Clason Point,BX0902,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005002002","4209",7147.29293473000,2205268.54956999980
"23","2",Bronx,"002300","2002300",,Mott Haven-Port Morris,BX0101,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),"36005002300","4221",4717.34230537000,1126745.17996999994
"27.01","2",Bronx,"002701","2002701",,Mott Haven-Port Morris,BX0101,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),"36005002701","4221",4100.51370609000,875817.56043900002
"27.02","2",Bronx,"002702","2002702",,Mott Haven-Port Morris,BX0101,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),"36005002702","4221",6087.90048070000,1677797.98907999997
"38","2",Bronx,"003800","2003800",,Soundview-Clason Point,BX0902,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005003800","4209",3473.80570572000,682166.27015999996
"39","2",Bronx,"003900","2003900",,Mott Haven-Port Morris,BX0101,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),"36005003900","4221",7427.77773285000,2326464.74674999993
"42","2",Bronx,"004200","2004200",,Soundview-Clason Point,BX0902,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005004200","4209",10388.26705590000,5209131.48694999982
"54","2",Bronx,"005400","2005400",,Soundview-Bruckner-Bronx River,BX0901,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005005400","4209",6397.43681597000,2133456.90750000020
"63.02","2",Bronx,"006302","2006302",,Yankee Stadium-Macombs Dam Park,BX0491,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005006302","4204",9673.85350768000,2808902.98498999979
"74","2",Bronx,"007400","2007400",,Castle Hill-Unionport,BX0903,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005007400","4209",6409.12910531000,2012633.62061000010
"79","2",Bronx,"007900","2007900",,Melrose,BX0102,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),"36005007900","4221",7474.50243197000,2126625.73325000005
"87","2",Bronx,"008700","2008700",,Longwood,BX0202,BX02,BX02 Longwood-Hunts Point (CD 2 Approximation),"36005008700","4221",6953.98445711000,2302753.25282000005
"125","2",Bronx,"012500","2012500",,Crotona Park East,BX0303,BX03,BX03 Morrisania-Crotona Park East (CD 3 Approximation),"36005012500","4263",5707.51688255000,1828803.45482000010
"133","2",Bronx,"013300","2013300",,Morrisania,BX0301,BX03,BX03 Morrisania-Crotona Park East (CD 3 Approximation),"36005013300","4263",5723.84990326000,1734820.26737000002
"135","2",Bronx,"013500","2013500",,Morrisania,BX0301,BX03,BX03 Morrisania-Crotona Park East (CD 3 Approximation),"36005013500","4263",6997.16941292000,1807152.89630999998
"189","2",Bronx,"018900","2018900",,Highbridge,BX0402,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005018900","4204",8004.65782813000,3924065.00386000006
"213.01","2",Bronx,"021301","2021301",,University Heights (South)-Morris Heights,BX0501,BX05,BX05 Morris Heights-Mount Hope (CD 5 Approximation),"36005021301","4205",3825.33371027000,660910.22308400006
"213.02","2",Bronx,"021302","2021302",,Mount Eden-Claremont (West),BX0403,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005021302","4204",5468.90538024000,1812687.53071000008
"217","2",Bronx,"021700","2021700",,University Heights (South)-Morris Heights,BX0501,BX05,BX05 Morris Heights-Mount Hope (CD 5 Approximation),"36005021700","4205",7592.67131181000,1730154.13993999991
"219","2",Bronx,"021900","2021900",,Mount Eden-Claremont (West),BX0403,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005021900","4204",6922.07700027000,1551551.82355999993
"223","2",Bronx,"022300","2022300",,Mount Eden-Claremont (West),BX0403,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005022300","4204",4039.18197831000,1001578.16052000003
"225","2",Bronx,"022500","2022500",,Mount Eden-Claremont (West),BX0403,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005022500","4204",5935.12300255000,1953063.11731999996
"227.02","2",Bronx,"022702","2022702",,Mount Eden-Claremont (West),BX0403,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005022702","4204",3829.35943810000,523884.24831499998
"227.03","2",Bronx,"022703","2022703",,Mount Eden-Claremont (West),BX0403,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005022703","4204",2569.47786511000,420601.09150300000
"237.04","2",Bronx,"023704","2023704",,Fordham Heights,BX0503,BX05,BX05 Morris Heights-Mount Hope (CD 5 Approximation),"36005023704","4205",3627.53038729000,728192.34704599995
"239","2",Bronx,"023900","2023900",,Fordham Heights,BX0503,BX05,BX05 Morris Heights-Mount Hope (CD 5 Approximation),"36005023900","4205",7305.92838259000,1913174.94235999999
"261","2",Bronx,"026100","2026100",,University Heights (North)-Fordham,BX0701,BX07,BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation),"36005026100","4207",6369.74878068000,1883343.86969000008
"267.01","2",Bronx,"026701","2026701",,Kingsbridge Heights-Van Cortlandt Village,BX0801,BX08,BX08 Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation),"36005026701","4208",3658.66764720000,742841.59105000005
"267.02","2",Bronx,"026702","2026702",,Kingsbridge Heights-Van Cortlandt Village,BX0801,BX08,BX08 Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation),"36005026702","4208",6366.48333391000,1819284.86074999999
"277","2",Bronx,"027700","2027700",,Kingsbridge Heights-Van Cortlandt Village,BX0801,BX08,BX08 Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation),"36005027700","4208",6958.97413970000,1880099.22252000007
"369.01","2",Bronx,"036901","2036901",,Tremont,BX0602,BX06,BX06 Tremont-Belmont-West Farms (CD 6 Approximation),"36005036901","4263",4419.43025996000,1067643.89547999995
"371","2",Bronx,"037100","2037100",,Tremont,BX0602,BX06,BX06 Tremont-Belmont-West Farms (CD 6 Approximation),"36005037100","4263",6323.45095353000,2128494.65206000023
"383.01","2",Bronx,"038301","2038301",,Fordham Heights,BX0503,BX05,BX05 Morris Heights-Mount Hope (CD 5 Approximation),"36005038301","4205",4142.37034308000,1030540.54853000003
"387","2",Bronx,"038700","2038700",,Belmont,BX0603,BX06,BX06 Tremont-Belmont-West Farms (CD 6 Approximation),"36005038700","4263",6115.85414373000,1971794.59725000011
"2","4",Queens,"000200","4000200",,Woodhaven,QN0905,QN09,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),"36081000200","4409",5113.95043593000,1665705.37969999993
"12","4",Queens,"001200","4001200",,Woodhaven,QN0905,QN09,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),"36081001200","4409",6305.93969795000,2420973.94057000009
"24","4",Queens,"002400","4002400",,Richmond Hill,QN0902,QN09,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),"36081002400","4409",5361.26492784000,1519335.34309999994
"26","4",Queens,"002600","4002600",,Richmond Hill,QN0902,QN09,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),"36081002600","4409",6189.62701693000,1593309.29236999992
"53","4",Queens,"005300","4005300",,Astoria (Central),QN0103,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),"36081005300","4401",8537.62798454000,2111785.60340999998
"65.01","4",Queens,"006501","4006501",,Astoria (Central),QN0103,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),"36081006501","4401",5124.69075031000,1198418.20824999991
"65.02","4",Queens,"006502","4006502",,Astoria (Central),QN0103,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),"36081006502","4401",5907.49095643000,1650722.20770999999
"69","4",Queens,"006900","4006900",,Astoria (Central),QN0103,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),"36081006900","4401",6617.18757531000,2266843.34781999979
"71","4",Queens,"007100","4007100",,Astoria (Central),QN0103,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),"36081007100","4401",8689.50737966000,2102179.87908999994
"73","4",Queens,"007300","4007300",,Astoria (Central),QN0103,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),"36081007300","4401",4969.44632485000,1522290.21540999995
"75","4",Queens,"007500","4007500",,Astoria (Central),QN0103,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),"36081007500","4401",4760.63598872000,1391240.15479000006
"95","4",Queens,"009500","4009500",,Astoria (North)-Ditmars-Steinway,QN0101,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),"36081009500","4401",6035.05981293000,1770676.84450999997
"97","4",Queens,"009700","4009700",,Astoria (North)-Ditmars-Steinway,QN0101,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),"36081009700","4401",6276.00602072000,2171669.75841999985
"101","4",Queens,"010100","4010100",,Astoria (North)-Ditmars-Steinway,QN0101,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),"36081010100","4401",5978.76337526000,1860062.55683999998
"103","4",Queens,"010300","4010300",,Astoria (North)-Ditmars-Steinway,QN0101,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),"36081010300","4401",9276.26159903000,2695889.59897000017
"111","4",Queens,"011100","4011100",,Astoria (North)-Ditmars-Steinway,QN0101,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),"36081011100","4401",5447.70009075000,1622555.67727999995
"115","4",Queens,"011500","4011500",,Astoria (North)-Ditmars-Steinway,QN0101,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),"36081011500","4401",5907.90916786000,1997218.90740999999
"119","4",Queens,"011900","4011900",,Astoria (North)-Ditmars-Steinway,QN0101,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),"36081011900","4401",4488.11116010000,1199794.97295000008
"121","4",Queens,"012100","4012100",,Astoria (North)-Ditmars-Steinway,QN0101,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),"36081012100","4401",5080.83239361000,1484400.48136000009
"128","4",Queens,"012800","4012800",,Richmond Hill,QN0902,QN09,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),"36081012800","4409",5824.97185319000,1721777.16867000004
"140","4",Queens,"014000","4014000",,Kew Gardens,QN0901,QN09,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),"36081014000","4409",7299.16988623000,2390486.93649999984
"142.01","4",Queens,"014201","4014201",,Richmond Hill,QN0902,QN09,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),"36081014201","4409",6319.31939447000,2270918.85931999981
"142.02","4",Queens,"014202","4014202",,Richmond Hill,QN0902,QN09,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),"36081014202","4409",12450.85061080000,6663000.26958999969
"179.01","4",Queens,"017901","4017901",,Sunnyside,QN0202,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),"36081017901","4402",5032.63301583000,1037434.78757000004
"179.02","4",Queens,"017902","4017902",,Sunnyside,QN0202,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),"36081017902","4402",8939.46183635000,4062482.13372999988
"185.02","4",Queens,"018502","4018502",,Sunnyside,QN0202,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),"36081018502","4402",4478.89677561000,1059000.89306999999
"187","4",Queens,"018700","4018700",,Sunnyside,QN0202,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),"36081018700","4402",7759.42745429000,2598727.37979000015
"189","4",Queens,"018900","4018900",,Sunnyside,QN0202,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),"36081018900","4402",6262.73211150000,2343199.54327999987
"199.02","4",Queens,"019902","4019902",,Sunnyside,QN0202,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),"36081019902","4402",20315.60617960000,6790206.33884999901
"205","4",Queens,"020500","4020500",,Sunnyside,QN0202,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),"36081020500","4402",11053.78058100000,6083652.18878000043
"216.02","4",Queens,"021602","4021602",,Kew Gardens,QN0901,QN09,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),"36081021602","4409",7626.18044046000,1207645.72965999995
"216.03","4",Queens,"021603","4021603",,Kew Gardens,QN0901,QN09,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),"36081021603","4409",8920.67205639000,3232869.40992000001
"235.02","4",Queens,"023502","4023502",,Sunnyside,QN0202,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),"36081023502","4402",5437.14135195000,1265214.14715999993
"253.01","4",Queens,"025301","4025301",,Sunnyside,QN0202,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),"36081025301","4402",4718.30352293000,1370376.21396000008
"253.02","4",Queens,"025302","4025302",,Sunnyside,QN0202,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),"36081025302","4402",4354.91594022000,1131234.79816000001
"255","4",Queens,"025500","4025500",,Woodside,QN0203,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),"36081025500","4402",7492.78594737000,2345871.57811000012
"257","4",Queens,"025700","4025700",,Woodside,QN0203,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),"36081025700","4402",7917.29861648000,1621552.76775999996
"259","4",Queens,"025900","4025900",,Woodside,QN0203,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),"36081025900","4402",6688.71680898000,2014820.56841000007
"269.01","4",Queens,"026901","4026901",,Elmhurst,QN0401,QN04,QN04 Elmhurst-Corona (CD 4 Approximation),"36081026901","4404",5493.25299194000,1230343.79658999993
"269.02","4",Queens,"026902","4026902",,Elmhurst,QN0401,QN04,QN04 Elmhurst-Corona (CD 4 Approximation),"36081026902","4404",3699.99242626000,844998.01391300000
"273.01","4",Queens,"027301","4027301",,Jackson Heights,QN0301,QN03,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),"36081027301","4403",5448.77142945000,1061782.62223000010
"277.01","4",Queens,"027701","4027701",,Jackson Heights,QN0301,QN03,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),"36081027701","4403",4094.79689003000,793890.55975899997
"309.03","4",Queens,"030903","4030903",,Jackson Heights,QN0301,QN03,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),"36081030903","4403",7799.35430471000,3785831.21802000003
"327","4",Queens,"032700","4032700",,Jackson Heights,QN0301,QN03,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),"36081032700","4403",5723.34977017000,1623732.64259000006
"328","4",Queens,"032800","4032800",,Laurelton,QN1305,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081032800","4413",11189.89713010000,3949347.62450999999
"330","4",Queens,"033000","4033000",,Springfield Gardens (North)-Rochdale Village,QN1204,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),"36081033000","4412",15153.95752760000,8815542.34335000068
"334.01","4",Queens,"033401","4033401",,Springfield Gardens (North)-Rochdale Village,QN1204,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),"36081033401","4412",10729.44837430000,6035942.44221999962
"337","4",Queens,"033700","4033700",,Jackson Heights,QN0301,QN03,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),"36081033700","4403",5720.83791247000,1623669.19726000004
"339","4",Queens,"033900","4033900",,Jackson Heights,QN0301,QN03,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),"36081033900","4403",5716.86427859000,1623371.63119999995
"351","4",Queens,"035100","4035100",,Jackson Heights,QN0301,QN03,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),"36081035100","4403",5464.05510335000,1498730.14100000006
