CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area
"154.02","1",Manhattan,"015402","1015402",,Upper East Side-Yorkville,MN0803,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061015402","4108",3070.90754240000,590439.34812300000
"155.01","1",Manhattan,"015501","1015501",,Upper West Side-Lincoln Square,MN0701,MN07,MN07 Upper West Side (CD 7 Approximation),"36061015501","4107",3864.79104397000,928265.53827500006
"157","1",Manhattan,"015700","1015700",,Upper West Side-Lincoln Square,MN0701,MN07,MN07 Upper West Side (CD 7 Approximation),"36061015700","4107",5778.30928559000,1958586.74025000003
"160.01","1",Manhattan,"016001","1016001",,Upper East Side-Carnegie Hill,MN0802,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061016001","4108",4702.17377716000,1352632.29777999991
"161","1",Manhattan,"016100","1016100",,Upper West Side (Central),MN0702,MN07,MN07 Upper West Side (CD 7 Approximation),"36061016100","4107",5716.22543542000,1677359.66531000007
"164","1",Manhattan,"016400","1016400",,East Harlem (South),MN1101,MN11,MN11 East Harlem (CD 11 Equivalent),"36061016400","4111",5535.65489948000,1911300.53077000007
"165","1",Manhattan,"016500","1016500",,Upper West Side (Central),MN0702,MN07,MN07 Upper West Side (CD 7 Approximation),"36061016500","4107",6286.35561079000,2199114.59964000015
"166","1",Manhattan,"016600","1016600",,East Harlem (South),MN1101,MN11,MN11 East Harlem (CD 11 Equivalent),"36061016600","4111",5724.30052448000,1871913.93571999995
"170","1",Manhattan,"017000","1017000",,East Harlem (South),MN1101,MN11,MN11 East Harlem (CD 11 Equivalent),"36061017000","4111",5617.78174999000,1969157.88721000007
"172","1",Manhattan,"017200","1017200",,East Harlem (South),MN1101,MN11,MN11 East Harlem (CD 11 Equivalent),"36061017200","4111",5797.26396924000,1912754.75564999995
"180","1",Manhattan,"018000","1018000",,East Harlem (North),MN1102,MN11,MN11 East Harlem (CD 11 Equivalent),"36061018000","4111",6055.91400604000,2287541.25700999983
"181","1",Manhattan,"018100","1018100",,Upper West Side (Central),MN0702,MN07,MN07 Upper West Side (CD 7 Approximation),"36061018100","4107",5253.87795421000,1489902.89326999988
"187","1",Manhattan,"018700","1018700",,Upper West Side-Manhattan Valley,MN0703,MN07,MN07 Upper West Side (CD 7 Approximation),"36061018700","4107",6534.41136082000,2323892.25423000008
"193","1",Manhattan,"019300","1019300",,Upper West Side-Manhattan Valley,MN0703,MN07,MN07 Upper West Side (CD 7 Approximation),"36061019300","4107",5716.00494440000,1892879.10541999992
"195","1",Manhattan,"019500","1019500",,Upper West Side-Manhattan Valley,MN0703,MN07,MN07 Upper West Side (CD 7 Approximation),"36061019500","4107",6579.74105738000,2338296.41374999983
"197.02","1",Manhattan,"019702","1019702",,Harlem (South),MN1001,MN10,MN10 Harlem (CD 10 Equivalent),"36061019702","4110",3204.62116985000,509562.33031100000
"199","1",Manhattan,"019900","1019900",,Morningside Heights,MN0901,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),"36061019900","4109",6655.70797590000,2406577.22288999986
"216","1",Manhattan,"021600","1021600",,Harlem (South),MN1001,MN10,MN10 Harlem (CD 10 Equivalent),"36061021600","4110",5689.08062719000,1864443.26600000006
"218","1",Manhattan,"021800","1021800",,Harlem (South),MN1001,MN10,MN10 Harlem (CD 10 Equivalent),"36061021800","4110",5775.54814549000,1958684.88773000007
"220","1",Manhattan,"022000","1022000",,Harlem (South),MN1001,MN10,MN10 Harlem (CD 10 Equivalent),"36061022000","4110",5691.51581119000,1882647.55466999998
"243.01","1",Manhattan,"024301","1024301",,Washington Heights (South),MN1201,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),"36061024301","4112",4737.70166378000,1129820.01224999991
"247","1",Manhattan,"024700","1024700",,Washington Heights (South),MN1201,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),"36061024700","4112",6989.39507023000,2731880.45885000005
"295","1",Manhattan,"029500","1029500",,Inwood,MN1203,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),"36061029500","4112",5236.02362632000,1459956.24948000000
"16","2",Bronx,"001600","2001600",,Soundview-Clason Point,BX0902,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005001600","4209",9671.30626716000,5221330.09714000020
"25","2",Bronx,"002500","2002500",,Mott Haven-Port Morris,BX0101,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),"36005002500","4221",5019.28198497000,1372151.25720999995
"65","2",Bronx,"006500","2006500",,Melrose,BX0102,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),"36005006500","4221",9811.63837771000,2816010.81172000011
"129.01","2",Bronx,"012901","2012901",,Longwood,BX0202,BX02,BX02 Longwood-Hunts Point (CD 2 Approximation),"36005012901","4221",7111.85698351000,1682640.15681999992
"131","2",Bronx,"013100","2013100",,Longwood,BX0202,BX02,BX02 Longwood-Hunts Point (CD 2 Approximation),"36005013100","4221",6532.97313075000,2477239.18702000007
"153","2",Bronx,"015300","2015300",,Crotona Park East,BX0303,BX03,BX03 Morrisania-Crotona Park East (CD 3 Approximation),"36005015300","4263",7313.93621682000,2522690.15332000004
"209","2",Bronx,"020900","2020900",,Mount Eden-Claremont (West),BX0403,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005020900","4204",5187.86758273000,1429575.33902000007
"273","2",Bronx,"027300","2027300",,Kingsbridge Heights-Van Cortlandt Village,BX0801,BX08,BX08 Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation),"36005027300","4208",7746.30109702000,2183729.10056000017
"373","2",Bronx,"037300","2037300",,Tremont,BX0602,BX06,BX06 Tremont-Belmont-West Farms (CD 6 Approximation),"36005037300","4263",7218.55918172000,1864495.10892000003
"375.04","2",Bronx,"037504","2037504",,Tremont,BX0602,BX06,BX06 Tremont-Belmont-West Farms (CD 6 Approximation),"36005037504","4263",8799.23103806000,2586046.37955999980
"391","2",Bronx,"039100","2039100",,Belmont,BX0603,BX06,BX06 Tremont-Belmont-West Farms (CD 6 Approximation),"36005039100","4263",5908.01196881000,2213716.11212999979
"63","4",Queens,"006300","4006300",,Astoria (Central),QN0103,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),"36081006300","4401",6358.78224538000,2288295.47334000003
"99","4",Queens,"009900","4009900",,Astoria Park,QN0191,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),"36081009900","4401",8570.89491729000,2674946.18123000022
"113","4",Queens,"011300","4011300",,Astoria (North)-Ditmars-Steinway,QN0101,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),"36081011300","4401",6050.89773189000,1922996.07480999990
"117","4",Queens,"011700","4011700",,Astoria (North)-Ditmars-Steinway,QN0101,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),"36081011700","4401",6365.30326033000,2290673.09600999998
"138","4",Queens,"013800","4013800",,Kew Gardens,QN0901,QN09,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),"36081013800","4409",8140.42162729000,1828863.88084000000
"169","4",Queens,"016900","4016900",,Sunnyside,QN0202,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),"36081016900","4402",7375.83673278000,2483619.45770000014
"181.01","4",Queens,"018101","4018101",,Sunnyside,QN0202,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),"36081018101","4402",5028.93838276000,1035687.63222000003
"181.02","4",Queens,"018102","4018102",,Sunnyside,QN0202,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),"36081018102","4402",5031.31280484000,1038481.14532999997
"183","4",Queens,"018300","4018300",,Sunnyside,QN0202,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),"36081018300","4402",7452.57204823000,2314483.75420999993
"199.01","4",Queens,"019901","4019901",,Sunnyside,QN0202,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),"36081019901","4402",10432.07350640000,3440003.40864000004
"199.03","4",Queens,"019903","4019903",,Sunnyside,QN0202,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),"36081019903","4402",10833.95948160000,7106116.91112000030
"251","4",Queens,"025100","4025100",,Woodside,QN0203,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),"36081025100","4402",7406.43530060000,2646559.91147999978
"267","4",Queens,"026700","4026700",,Elmhurst,QN0401,QN04,QN04 Elmhurst-Corona (CD 4 Approximation),"36081026700","4404",6365.40691983000,2256191.11672999989
"271.01","4",Queens,"027101","4027101",,Elmhurst,QN0401,QN04,QN04 Elmhurst-Corona (CD 4 Approximation),"36081027101","4404",4342.27583234000,967871.94160200004
"271.02","4",Queens,"027102","4027102",,Elmhurst,QN0401,QN04,QN04 Elmhurst-Corona (CD 4 Approximation),"36081027102","4404",3113.51212312000,528308.62044900004
"273.02","4",Queens,"027302","4027302",,Jackson Heights,QN0301,QN03,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),"36081027302","4403",5646.96125576000,1254853.34904000000
"275","4",Queens,"027500","4027500",,Jackson Heights,QN0301,QN03,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),"36081027500","4403",7384.59516448000,1911640.09939000010
"277.02","4",Queens,"027702","4027702",,Jackson Heights,QN0301,QN03,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),"36081027702","4403",4335.96786239000,1082232.83939999994
"279","4",Queens,"027900","4027900",,Jackson Heights,QN0301,QN03,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),"36081027900","4403",7392.18222643000,1913241.98974999995
"281","4",Queens,"028100","4028100",,Jackson Heights,QN0301,QN03,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),"36081028100","4403",7391.19930172000,1877449.65647000005
"283","4",Queens,"028300","4028300",,Jackson Heights,QN0301,QN03,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),"36081028300","4403",7388.43638066000,1913172.77775999997
"285","4",Queens,"028500","4028500",,Jackson Heights,QN0301,QN03,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),"36081028500","4403",7390.11435232000,1701419.41686000000
"287","4",Queens,"028700","4028700",,Jackson Heights,QN0301,QN03,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),"36081028700","4403",7939.87237985000,2104677.73699000012
"289","4",Queens,"028900","4028900",,Jackson Heights,QN0301,QN03,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),"36081028900","4403",7304.22002246000,1859020.47818999994
"352","4",Queens,"035200","4035200",,St. Albans,QN1205,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),"36081035200","4412",13006.76677890000,6514364.15902999975
"361","4",Queens,"036100","4036100",,East Elmhurst,QN0302,QN03,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),"36081036100","4403",7450.19995809000,1693935.00364000001
"375.01","4",Queens,"037501","4037501",,Corona,QN0402,QN04,QN04 Elmhurst-Corona (CD 4 Approximation),"36081037501","4404",4019.52050489000,571221.06724300003
"411","4",Queens,"041100","4041100",,Corona,QN0402,QN04,QN04 Elmhurst-Corona (CD 4 Approximation),"36081041100","4404",5258.32753701000,1481730.53816000000
"443.02","4",Queens,"044302","4044302",,Corona,QN0402,QN04,QN04 Elmhurst-Corona (CD 4 Approximation),"36081044302","4404",6885.48818903000,2992542.45232000016
"457","4",Queens,"045700","4045700",,Elmhurst,QN0401,QN04,QN04 Elmhurst-Corona (CD 4 Approximation),"36081045700","4404",5578.62644305000,1620253.94155000011
"481","4",Queens,"048100","4048100",,Elmhurst,QN0401,QN04,QN04 Elmhurst-Corona (CD 4 Approximation),"36081048100","4404",5593.24966948000,1496567.82633999991
"551","4",Queens,"055100","4055100",,Ridgewood,QN0502,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081055100","4405",5974.20708933000,1669725.73224999988
"585","4",Queens,"058500","4058500",,Ridgewood,QN0502,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081058500","4405",5622.54718644000,1842457.05747999996
"593","4",Queens,"059300","4059300",,Ridgewood,QN0502,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081059300","4405",7184.62125837000,2719007.54082999984
"595.01","4",Queens,"059501","4059501",,Ridgewood,QN0502,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081059501","4405",6320.21426142000,1774156.28312000004
"1010.02","4",Queens,"101002","4101002",,Far Rockaway-Bayswater,QN1401,QN14,QN14 The Rockaways (CD 14 Approximation),"36081101002","4414",16293.19668370000,5796453.18737000041
"1047","4",Queens,"104700","4104700",,Murray Hill-Broadway Flushing,QN0704,QN07,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),"36081104700","4407",13160.64126860000,9061045.61865999922
"38","1",Manhattan,"003800","1003800",,East Village,MN0303,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061003800","4103",5840.78675497000,2180047.43844000017
"48","1",Manhattan,"004800","1004800",,Gramercy,MN0602,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061004800","4165",5539.37910854000,1920852.09120999998
"64","1",Manhattan,"006400","1006400",,Gramercy,MN0602,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061006400","4165",5564.01224764000,1934407.85641000001
"178","1",Manhattan,"017800","1017800",,East Harlem (North),MN1102,MN11,MN11 East Harlem (CD 11 Equivalent),"36061017800","4111",6844.58289659000,2663052.14918000018
"1257","4",Queens,"125700","4125700",,Pomonok-Electchester-Hillcrest,QN0802,QN08,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),"36081125700","4408",8457.52165070000,3566900.58729000017
"61","4",Queens,"006100","4006100",,Astoria (Central),QN0103,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),"36081006100","4401",6182.44907432000,2099196.68502999982
"144.01","1",Manhattan,"014401","1014401",,Upper East Side-Yorkville,MN0803,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061014401","4108",4016.37080214000,807979.69958599994
"16","1",Manhattan,"001600","1001600",,Chinatown-Two Bridges,MN0301,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061001600","4103",6391.74464441000,2232591.52567999996
"1123","4",Queens,"112300","4112300",,Bayside,QN1102,QN11,QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation),"36081112300","4411",7802.58147254000,3005919.53373999987
"389","2",Bronx,"038900","2038900",,Belmont,BX0603,BX06,BX06 Tremont-Belmont-West Farms (CD 6 Approximation),"36005038900","4263",5446.61218513000,1846409.31746000005
"483.01","4",Queens,"048301","4048301",,Elmhurst,QN0401,QN04,QN04 Elmhurst-Corona (CD 4 Approximation),"36081048301","4404",3915.73641713000,931227.03061300004
"633.02","4",Queens,"063302","4063302",,Glendale,QN0503,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081063302","4405",6411.41514436000,1490798.66320000007
"237.03","2",Bronx,"023703","2023703",,Fordham Heights,BX0503,BX05,BX05 Morris Heights-Mount Hope (CD 5 Approximation),"36005023703","4205",4924.11199372000,1071852.11045000004
"1167","4",Queens,"116700","4116700",,Murray Hill-Broadway Flushing,QN0704,QN07,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),"36081116700","4407",6703.87300596000,1787963.29166000010
"185","1",Manhattan,"018500","1018500",,Upper West Side-Manhattan Valley,MN0703,MN07,MN07 Upper West Side (CD 7 Approximation),"36061018500","4107",5169.48479389000,1406208.06062999996
"189","1",Manhattan,"018900","1018900",,Upper West Side-Manhattan Valley,MN0703,MN07,MN07 Upper West Side (CD 7 Approximation),"36061018900","4107",6761.85252932000,2853971.29834000021
"191","1",Manhattan,"019100","1019100",,Upper West Side-Manhattan Valley,MN0703,MN07,MN07 Upper West Side (CD 7 Approximation),"36061019100","4107",6614.17876835000,2385202.80486000003
"19.01","2",Bronx,"001901","2001901",,Mott Haven-Port Morris,BX0101,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),"36005001901","4221",6151.01268099000,2232573.64930999978
"99.01","1",Manhattan,"009901","1009901",,Chelsea-Hudson Yards,MN0401,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),"36061009901","4104",18255.86228900000,4211423.91861999966
"200","1",Manhattan,"020000","1020000",,Harlem (South),MN1001,MN10,MN10 Harlem (CD 10 Equivalent),"36061020000","4110",6753.23297750000,1391141.41393000004
"7","1",Manhattan,"000700","1000700",,Financial District-Battery Park City,MN0101,MN01,MN01 Financial District-Tribeca (CD 1 Equivalent),"36061000700","4121",9763.04258001000,2439446.11691999994
"9","1",Manhattan,"000900","1000900",,Financial District-Battery Park City,MN0101,MN01,MN01 Financial District-Tribeca (CD 1 Equivalent),"36061000900","4121",16486.61610050000,3130256.31668999977
"30.01","1",Manhattan,"003001","1003001",,Lower East Side,MN0302,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061003001","4103",4774.16344958000,1330481.61765999999
"59","1",Manhattan,"005900","1005900",,Greenwich Village,MN0202,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),"36061005900","4121",5280.10250184000,1250316.20744000003
"61","1",Manhattan,"006100","1006100",,Greenwich Village,MN0202,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),"36061006100","4121",5022.82231991000,1528504.22528999997
"50","1",Manhattan,"005000","1005000",,Gramercy,MN0602,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061005000","4165",5473.39362210000,1793935.47977000009
"47","1",Manhattan,"004700","1004700",,SoHo-Little Italy-Hudson Square,MN0201,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),"36061004700","4121",5987.20932362000,1780551.06579999998
"49","1",Manhattan,"004900","1004900",,SoHo-Little Italy-Hudson Square,MN0201,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),"36061004900","4121",6676.60586579000,2226124.32264999999
"140","1",Manhattan,"014000","1014000",,Upper East Side-Carnegie Hill,MN0802,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061014000","4108",5820.81589059000,1925984.24386000005
"136.04","1",Manhattan,"013604","1013604",,Upper East Side-Yorkville,MN0803,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061013604","4108",3976.81699208000,771854.00371700001
"144.02","1",Manhattan,"014402","1014402",,Upper East Side-Yorkville,MN0803,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061014402","4108",6914.40713411000,1878963.53306000005
"142","1",Manhattan,"014200","1014200",,Upper East Side-Carnegie Hill,MN0802,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061014200","4108",5821.70518631000,1927688.31926000002
"179","1",Manhattan,"017900","1017900",,Upper West Side (Central),MN0702,MN07,MN07 Upper West Side (CD 7 Approximation),"36061017900","4107",6438.49081547000,2278484.15436000004
"183","1",Manhattan,"018300","1018300",,Upper West Side (Central),MN0702,MN07,MN07 Upper West Side (CD 7 Approximation),"36061018300","4107",6592.53533538000,2391021.04184000008
